Keysight E1733A String Table
SimpChn

[1],Linear,线性
[3015],Simulated laser position,模拟激光位置
[3016],Rotary table status |Click to enter hardware setup menu,转台的工作状态|单击进入硬件设置页面
[3017],Air pressure,空气压力
[3018],Air temperature,空气温度
[3019],Material Temperature 1,被测工件的温度1
[3020],Material Temperature 2,被测工件的温度2
[3021],Material temperature 3,被测工件的温度3
[3022],Air relative humidity,空气的相对湿度
[3023],Environmental parameter display area |Double click to enlarge or recover,环境参数显示区|双击进行放大或者复原
[3024],Measurement graph display area |Double click to enlarge or recover |Drag to change display area,测量图形显示区|双击进行放大或者复原|拖动改变显示区域
[3025],Measurement data display area |Double click to enlarge or recover,测量数据显示区|双击进行放大或者复原
[3026],Change error value sign,改变误差数值的正负号
[3027],Enter limit line value,输入限制线的数值
[3028],Select -> to display limit line,选中->显示限制线
[3029],Enter line number |Press the left button to setup it as the first line,输入行号|按左边的按钮将其设为第一行
[3030],Select the display mode of the target position,选择目标位置的显示方式
[3031],Enter user defined Y-axis range,输入用户自定义的纵轴范围
[3032],Select ->  Display graph,选中->显示图例
[3033],Auto select Y-axis range,自动选择纵轴显示范围
[3034],Select -> Display according to user defined range,选中->按用户自定义的范围显示
[3035],Toolbar,工具栏
[3036],Select environmental parameter units ,选择环境参数使用的计量单位
[3037],"Pressed to display grid lines, released to hide grid lines ",按下时显示网格线，弹起时隐藏网格线
[3038],"Pressed to display 3D graph, released to display 2D graph",按下时显示3D图形，弹起时显示2D数据
[3039],Select environmental parameter type,选择要显示的环境参数类型
[3040],Select the axis to be displayed,选择要显示的轴
[3041],Select the data type of the time to be displayed,选择要显示的时间数据类型
[3042],Select the items to be displayed,选择要显示的项目
[3043],Enter the measurement point number for the zero position ,输入机器零点所对应的测量点的编号
[3044],Select the conversion method of the error sign,选择误差符号的转换方式
[3045],Compensation value calculation method,补偿值的计算方法
[3046],Select the measurement unit format |It will effect on all the display values,选择长度单位的制式|这将影响所有的数值显示
[3047],Length value correspond to one machine compensation value,1个机器补偿值所对应的长度数值
[3048],Select compensation table location and generation method,选择补偿表的目标位置的生成方式
[3049],Start position of the compensation table,补偿表的起始位置
[3050],End position of the compensation table,补偿表的终止位置
[3051],Interval of the compensation table,补偿表的位置间隔
[3052],Select the expression form of the compensation value |It will affect the sign of the compensation value,选择补偿值的表达形式|这会影响补偿值的正负号
[3053],Select the calculation methods for the forward and reverse compensation values |Combination: compensation value from the average of the two values |Forward/Reverse: calculate two compensation values separately,选择正向补偿值和反向补偿值的计算方式|组合:取二者的平均值得到一组补偿值|正向/反向:分别计算得到两组补偿值
[3054],Click to enter ISO information menu,单击进入ISO信息设置页面
[3055],Click to enter machine information menu,单击进入机器信息设置页面
[3056],Click to enter measurement setup menu,单击进入测量设置页面
[3057],Click to enter data analysis menu,单击进入数据分析设置页面
[3058],Select settings for the measurement |Default: Default for all the settings; suitable for new measurement |Saved: Save measurement and information setting; Suitable for the repeating measurement |Information: Save information settings only; Suitable for measurement for the same machine,选择进入测量时的设置状态|缺省值:全部刷新为缺省值;适用于开始全新测量|保存值:同时保留测量设置和信息设置;适用于在原有机器上重复上次测量|信息:只保留信息设置;适用于在原有机器上开始新的测量
[3059],Select display language,选择显示语言
[3060],Click to setup the default path for data files,点击设置用户数据文件的缺省路径
[3061],Select the display method of the interface,选择界面的显示方式
[3062],Installed certificate,已安装的许可证
