Keysight E1733A String Table
Italian

[1],Linear,Lineare
[310],Keyboard Position,Posizione tastiera
[311],Outside Target Window,Fuori finestra traguardo
[312],Inside Target Window,Entro finestra traguardo
[313],Target List,Lista traguardi
[314],Interpolate,Interpola
[315],Compensation Values,Valori compensazione
[316],None,nessuno
[317],Already running [%s] software,Software [%s] gi?in esecuzione
[318],Offline Mode,
[319],Main Menu,Menu princ.
[320],Numeric Display,Display numerico
[321],Default Display Mode,
[322],Advanced Options,
[323],Pos. Uncertnty,Inctzza posiz.
[324],Sorted by position number,Ordinato per n. posizione
[325],Sorted by run number,Ordinato per n. serie
[326],Sorted by line number,Ordinato per n. linea
[327],Number of total data pairs,Numero coppie dati totale
[328],Number of total data runs,Numero serie dati totale
[329],Axis 2 Data,Dati asse 2
[330],Out of spec,Fuori spec.
[331],Target Value,Valore trag.
[332],Error Value,Valore errore
[333],Pos #,N. pos.
[334],Run #,N.serie
[335],Line #,Linea n.
[336],Point #,Punto n.
[337],Position,Posiz.
[338],Coefficient of Thermal Expansion,
[339],Compensation Routine,
[340],Update Each %s ,
[341],Equation,
[342],Parameter,
[343],Air Conditions Used for Compensation of Laser Interferometer,
[344],Positioning Measurement,
[345],Estimation of Measurement Uncertainty,
[346],Laser Interferometer Measurement,
[347],Simplified Method,
[348],Average Industial Conditions,
[349],Improved Industrial Conditions,
[350],Contributors,
[351],Device,
[352],Measurement Length,
[353],Error Range,
[354],Alignment,
[355],Beam Alignment,
[356],Misalignment,
[357],Compensation of Workpiece Temperature,
[358],Thermal Expansion Coefficient,
[359],Difference to 20C,
[360],Temperature Measurement,
[361],Maximum,
[362],Machine Tool,
[363],Zero,
[364],Included in U(%s),
[365],Environmental Variation,
[366],Correction of R Values Due to U(EVE),
[367],Correction of Repeatability Values,
[368],According to Table,
[369],Typical Results,
[370],At Target %s,
[371],For R According to Table,
[372],Corrected,
[373],Uncorrected,
[374],Assumed,
[375],Calibrated Measuring Device,
[376],Uncertainty of Expansion Coefficient,
[377],Unit,
[378],Amplitude,
[379],Frequency,
[380],Show Legend,Mostra legenda
[381],Show Machine Info.,Mostra informazioni macchina
[382],Merge Data,Unisci dati
[383],Can't combine different data types or target lists,Impossibile combinare tipi di dati o liste traguardi diversi.
[384],Synchronized Operation,
[385],Demo Mode,
[386],Rotary Table,
[387],Printer,
[388],Copies,
[389],Orientation,
[390],Portrait,
[391],Landscape,
[392],Download,
[393],User defined download program,
[394],File not found,Impossibile trovare file
[395],Show Hint,
[396],Extra Margin,
[397],Left,
[398],Top,
[399],Right,
[400],Bottom,
[401],Calibration Due,
[402],Calibration Expired,
[403],Calibration Period,
[404],Month,
[405],Dual Axis,
[406],Single Axis,
[407],Hysteresis,

[1001],Install,
[1002],[%s] will be installed in the following folder,
[1003],[%s] has been successfully installed,
[1004],Failed to install [%s],
[1005],Remove,
[1006],Remove all components of [%s],
[1007],[%s] has been removed,
[1008],Failed to remove [%s],
[1009],Reinstall,
[1010],Please close program [%s] first,
[1011],Install Path,
[1012],User Data,
[1013],User data will not be deleted,
[1014],Agree,
[1015],Do Not Agree,
[1016],Customize,
[1017],Customize user interface and advanced options of [%s],
[1018],Repair,
[1019],Repair system settings and reinstall driver,

[2001],Existing Calibration,
[2002],New Calibration,
[2003],Raw Value,
[2004],Calibrated,
[2005],Reference,
