Keysight E1733A String Table
German

[221],Dimensional Metrology Software,Dimensional Measurement Software
[222],All Rights Reserved,Alle Rechte vorbehalten
[223],Open,Öffnen
[224],Setup,Setup
[225],Start,Start
[226],Reset,Zurücksetzen
[227],Continue,Weiter
[228],Stop,Stopp
[229],Save,Speichern
[230],Print,Drucken
[231],Record,Aufzeichnen
[232],Erase,Löschen
[233],Help,Hilfe
[234],Exit,Schließen
[235],OK,OK
[236],Cancel,Abbrechen
[237],Calibrate,Kalibrieren
[238],Recalculate,Neu berechnen
[239],Apply,Bestätigen
[240],Import,Importieren
[241],Setup + Data,Einrichtung + Daten
[242],All Data,Alle Daten
[243],Last Run,Letzter Lauf
[244],Last Data,Letzte Daten
[245],Setup Only,Nur Einrichtung
[246],Raw Data,Originaldaten
[247],Compensation Table,Kompensationstabelle
[248],Environmental Data,Umgebungsdaten
[249],Setup Printer,Druckereinstellungen
[250],Report,Bericht
[251],Collecting data . . .,Daten abrufen…
[252],Text File,Textdatei
[253],CSV (comma delimited),CSV (Komma begrenzt)
[254],Plus/Minus,Plus/Minus
[255],Closure,Abschluss
[256],Elevation,Ebenheitsabw.
[257],Data Point,Messpunkt
[258],Combined,Kombiniert
[259],Forward,Vorwärts
[260],Reverse,Rückwärts
[261],Warning,Warnung
[262],Tested Axis,geprüfte Axe
[263],Axis Deviation,Abweichung Achse
[264],Reversal Value,Umkehrspanne
[265],Mean Reversal Value,Mittlere Umkehrspanne
[266],Range Mean Bidirectional Positional Deviation,bidirektionale Positionsmitte-Abweichung
[267],Systematic Positional Deviation,Systematische Positionsabweichung
[268],Repeatability of Positioning,Reproduzierbarkeit der Positionierung
[269],Accuracy,Meßunsicherheit
[270],Unidirectional,Unidirektional
[271],Bidirectional,Bidirektional
[272],Not Applicable,Nicht Anwendbar
[273],Target Position,Zielposition
[274],Approach Direction,Anf.-Rchtg
[275],Positional Deviation,Positionsabweichung
[276],Mean Unidir. Pos. Dev.,Mittlere unidir. Pos. Abw.
[277],Est. of Standard Uncertainty,Begründet durch Standard-Messunsicherheit
[278],Unidir. Repeatability,Unidir. Wiederholbarkeit
[279],Bidir. Repeatability,Bidir. Wiederholbarkeit
[280],(Used for NDE Correction),(benötigt für NDE Korrektur)
[281],Data not saved,Daten nicht gespeichert
[282],Measurement not completed,Messung nicht komplett
[283],Reset position?,Position zurücksetzen?
[284],Measurement completed,Messung abgeschlossen
[285],Measurement terminated,Messung beendet
[286],Measurement completed with %d data lost,Messung abgeschlossen mit %d Datenverlust
[287],Measurement of current axis completed,Messung der aktuellen Axe abgeschlossen
[288],Cannot open file,Datei kann nicht geöffnet werden
[289],Cannot save file,Datei kann nicht gespeichert werden
[290],%s / %s must be an integer,%s / %s muss eine ganze Zahl sein
[291],Inconsistent values,Widersprüchliche Werte
[292],Invalid entry,Eintrag eingeben
[293],No. of cycles doesn't comply ISO standard. Print?,Anzahl der Zyklen stimmt nicht mit ISO Standard überein. Drucken?
[294],All Files,Alle Dateien
[295],Legacy Files,Altdaten
[296],Firmware,Firmware
[297],Driver,Treiber
[298],Library,Sammlung
[299],User Calibration,Benutzereinstellungen
[300],Shift,Veränderung
[301],Modify data by user?,Daten durch Benutzer modifizieren?
[302],Optics,Optik
[303],Default,Standardeinstellungen
[304],Saved,Gespeichert
[305],Average Material Temp.,Mittlere Werkstofftemp.
[306],Current Axis,Derzeitige Achse
[307],Extended Resolution,Erhöhte Auflösung
[308],Data Lost,Datenverlust
[309],Information,Information
[310],Keyboard Position,Tast.-Eing.-Position
[311],Outside Target Window,Außerhalb Zielfenster
[312],Inside Target Window,Innerhalb Zielfenster
[313],Target List,Pos.-Tabelle
[314],Interpolate,Interpolieren
[315],Compensation Values,Kompensationswerte
[316],None,Keine
[317],Already running [%s] software,[%s] Software läuft bereits
[318],Offline Mode,Offline Modus
[319],Main Menu,Hauptmen?
[320],Numeric Display,Num. Anzeige
[321],Default Display Mode,Standardanzeige
[322],Advanced Options,Erweiterte Optionen
[323],Pos. Uncertnty,Pos.-Unsicherheit
[324],Sorted by position number,Sortiert nach Positionsnummer
[325],Sorted by run number,Sortiert nach Durchlaufnummer
[326],Sorted by line number,Sortiert nach Liniennummer
[327],Number of total data pairs,Gesamtzahl der Datenpunkte
[328],Number of total data runs,Anzahl der gesamten Datenläufe
[329],Axis 2 Data,Daten Achse 2
[330],Out of spec,> Spez.
[331],Target Value,Sollwert
[332],Error Value,Abw.-Wert
[333],Pos #,Pos.nr.
[334],Run #,Drchlf
[335],Line #,Liniennr.
[336],Point #,Punktnr.
[337],Position,Position
[338],Coefficient of Thermal Expansion,Ausdehnungskoeffizient
[339],Compensation Routine,Kompensationsroutine
[340],Update Each %s ,Update je %s
[341],Equation,Gleichung
[342],Parameter,Parameter
[343],Air Conditions Used for Compensation of Laser Interferometer,Für die Kompensation des Laserinterferometers verwendete Luftbedingungen
[344],Positioning Measurement,Positionsmessung
[345],Estimation of Measurement Uncertainty,Geschätzte Messunsicherheit
[346],Laser Interferometer Measurement,Laserinterferometer Messung
[347],Simplified Method,Vereinfachte Methode
[348],Average Industial Conditions,Durchschnittliche industrielle Konditionen
[349],Improved Industrial Conditions,Verbesserte industrielle Konditionen
[350],Contributors,Mitarbeiter
[351],Device,Gerät
[352],Measurement Length,Messlänge
[353],Error Range,Fehlerbereich
[354],Alignment,Ausrichtung
[355],Beam Alignment,Strahlausrichtung
[356],Misalignment,Fehlausrichtung
[357],Compensation of Workpiece Temperature,Kompensation der Werkstück Temperatur
[358],Thermal Expansion Coefficient,Ausdehnungskoeffizient
[359],Difference to 20C,Differenz zu 20C
[360],Temperature Measurement,Temperaturmessung
[361],Maximum,Maximum
[362],Machine Tool,Werkzeugmaschine
[363],Zero,Null
[364],Included in U(%s),Einkalkuliert in U(%s)
[365],Environmental Variation,Umgebungsveränderung
[366],Correction of R Values Due to U(EVE),Korrektur von R Werten aufgrund von U(EVE)
[367],Correction of Repeatability Values,Korrektur von Wiederholungswerten
[368],According to Table,Gemäß der Tabelle
[369],Typical Results,Typische Resultate
[370],At Target %s,Am Ziel %s
[371],For R According to Table,Für R gemäß Tabelle
[372],Corrected,Korrigiert
[373],Uncorrected,Unkorrigiert
[374],Assumed,Angenommen
[375],Calibrated Measuring Device,Kalibriertes Messgerät
[376],Uncertainty of Expansion Coefficient,Unsicherheit des Ausdehnungskoeffizienten
[377],Unit,Einheit
[378],Amplitude,Amplitude
[379],Frequency,Frequenz
[380],Show Legend,Legende anzeigen
[381],Show Machine Info.,Maschinendaten anzeigen
[382],Merge Data,Daten mischen
[383],Can't combine different data types or target lists,Kann unterschiedliche Datenarten oder Positionstabellen nicht verknüpfen.
[384],Synchronized Operation,Synchronisierter Einsatz
[385],Demo Mode,Vorführmodus
