Keysight E1733A String Table
Spanish

[1],Linear,Lineal
[366],Correction of R Values Due to U(EVE),
[367],Correction of Repeatability Values,
[368],According to Table,
[369],Typical Results,
[370],At Target %s,
[371],For R According to Table,
[372],Corrected,
[373],Uncorrected,
[374],Assumed,
[375],Calibrated Measuring Device,
[376],Uncertainty of Expansion Coefficient,
[377],Unit,
[378],Amplitude,
[379],Frequency,
[380],Show Legend,Mostrar leyenda
[381],Show Machine Info.,Mostrar info. máquina
[382],Merge Data,Fusionar datos
[383],Can't combine different data types or target lists,No se pueden combinar diferentes tipos de datos o listas de valores.
[384],Synchronized Operation,
[385],Demo Mode,
[386],Rotary Table,
[387],Printer,
[388],Copies,
[389],Orientation,
[390],Portrait,
[391],Landscape,
[392],Download,
[393],User defined download program,
[394],File not found,No se ha encontrado el archivo
[395],Show Hint,
[396],Extra Margin,
[397],Left,
[398],Top,
[399],Right,
[400],Bottom,
[401],Calibration Due,
[402],Calibration Expired,
[403],Calibration Period,
[404],Month,
[405],Dual Axis,
[406],Single Axis,
[407],Hysteresis,

[1001],Install,Instalar
[1002],[%s] will be installed in the following folder,[%s] se instalar?en la siguiente ubicación
[1003],[%s] has been successfully installed,[%s] ha sido instalado correctamente
[1004],Failed to install [%s],Fallo en la instalación [%s]
[1005],Remove,Borrar
[1006],Remove all components of [%s],Borrar todos los componentes de [%s]
[1007],[%s] has been removed,[%s] ha sido eliminado
[1008],Failed to remove [%s],Fallo al borrar [%s]
[1009],Reinstall,Reinstalar
[1010],Please close program [%s] first,Cierre primero el programa [%s]
[1011],Install Path,Ruta de instalación
[1012],User Data,Datos del usuario
[1013],User data will not be deleted,No se borrarán los datos del usuario
[1014],Agree,OK
[1015],Do Not Agree,No OK
[1016],Customize,Personalizar
[1017],Customize user interface and advanced options of [%s],Personalizar el interface y las opciones avanzadas [%s]
[1018],Repair,Reparar
[1019],Repair system settings and reinstall driver,Reparar conf. Y reinstalar el driver

[2001],Existing Calibration,Calibración existente
[2002],New Calibration,Nueva Calibración
[2003],Raw Value,
[2004],Calibrated,Calibrado
[2005],Reference,Referencia
[2006],Temperature,temperatura
[2007],Write Sensor,Escriba el sensor
[2008],Sensor Calibration,Calibración del sensor
[2009],Sensor has been updated,Sensor actualizado
[2010],Discard changes,Descargar cambios
[2011],Cannot access sensor,

[3001],Laser position,
[3002],Laser position 2,
[3003],Error value,
[3004],Target position,
[3005],Encoder reading,
[3006],Rotary table reading,
[3007],Rotary angle,
[3008],Elapsed time,
[3009],Motion velocity,
[3010],Target position number,
[3011],Click to change lower display,
[3012],Click to change upper display,
[3013],Beam strength 2,
[3014],beam strength,
[3015],Simulated laser position,
[3016],Rotary table status |Click to enter hardware setup menu,
[3017],Air pressure,
[3018],Air temperature,
[3019],Material Temperature 1,
[3020],Material Temperature 2,
[3021],Material temperature 3,
[3022],Air relative humidity,
[3023],Environmental parameter display area |Double click to enlarge or recover,
[3024],Measurement graph display area |Double click to enlarge or recover |Drag to change display area,
[3025],Measurement data display area |Double click to enlarge or recover,
