Keysight E1733A String Table
TradChn

[1],Linear,線性
[354],Alignment,校直
[355],Beam Alignment,光束校直
[356],Misalignment,偏離校直
[357],Compensation of Workpiece Temperature,工件溫度補償
[358],Thermal Expansion Coefficient,熱膨脹係數
[359],Difference to 20C,與20度的差異
[360],Temperature Measurement,溫度量測
[361],Maximum,最大
[362],Machine Tool,工具機
[363],Zero,零
[364],Included in U(%s),包含U值(%s)
[365],Environmental Variation,環境變動
[366],Correction of R Values Due to U(EVE),修正由U(EVE)所造成的R值
[367],Correction of Repeatability Values,重複性修正
[368],According to Table,依照表格
[369],Typical Results,典型結果
[370],At Target %s,在目標 %s
[371],For R According to Table,根據表中的R值
[372],Corrected,修正後
[373],Uncorrected,未修正
[374],Assumed,假設值
[375],Calibrated Measuring Device,已校準的量測設備
[376],Uncertainty of Expansion Coefficient,膨脹係數的不確定度
[377],Unit,單位：
[378],Amplitude,振幅
[379],Frequency,頻率
[380],Show Legend,顯示圖例
[381],Show Machine Info.,顯示機器資訊
[382],Merge Data,合併資料
[383],Can't combine different data types or target lists,不能組合不同資料類型或目標列表.
[384],Synchronized Operation,同步操作
[385],Demo Mode,展示模式
[386],Rotary Table,旋轉盤
[387],Printer,印表機
[388],Copies,份數
[389],Orientation,方向
[390],Portrait,縱向
[391],Landscape,橫向
[392],Download,下載
[393],User defined download program,用戶定義下載
[394],File not found,找不到檔案
[395],Show Hint,
[396],Extra Margin,
[397],Left,
[398],Top,
[399],Right,
[400],Bottom,
[401],Calibration Due,
[402],Calibration Expired,
[403],Calibration Period,
[404],Month,
[405],Dual Axis,
[406],Single Axis,
[407],Hysteresis,

[1001],Install,安裝
[1002],[%s] will be installed in the following folder,[%s] 將會被安裝在此資料夾中
[1003],[%s] has been successfully installed,[%s] 已成功安裝
[1004],Failed to install [%s],安裝失敗 [%s]
[1005],Remove,移除
[1006],Remove all components of [%s],移除所有資料 [%s]
[1007],[%s] has been removed,[%s] 已經被移除
[1008],Failed to remove [%s],移除失敗 [%s]
[1009],Reinstall,重新安裝
[1010],Please close program [%s] first,請先結束 [%s]
[1011],Install Path,安裝路徑
[1012],User Data,使用者數據
[1013],User data will not be deleted,不刪除使用者數據
[1014],Agree,同意
