Keysight E1733A String Table
English

[226],Reset,Reset
[227],Continue,Continue
[228],Stop,Stop
[229],Save,Save
[230],Print,Print
[231],Record,Record
[232],Erase,Erase
[233],Help,Help
[234],Exit,Exit
[235],OK,OK
[236],Cancel,Cancel
[237],Calibrate,Calibrate
[238],Recalculate,Recalculate
[239],Apply,Apply
[240],Import,Import
[241],Setup + Data,Setup + Data
[242],All Data,All Data
[243],Last Run,Last Run
[244],Last Data,Last Data
[245],Setup Only,Setup Only
[246],Raw Data,Raw Data
[247],Compensation Table,Compensation Table
[248],Environmental Data,Environmental Data
[249],Setup Printer,Setup Printer
[250],Report,Report
[251],Collecting data . . .,Collecting data . . .
[252],Text File,Text File
[253],CSV (comma delimited),CSV (comma delimited)
[254],Plus/Minus,Plus/Minus
[255],Closure,Closure
[256],Elevation,Elevation
[257],Data Point,Data Point
[258],Combined,Combined
[259],Forward,Forward
[260],Reverse,Reverse
[261],Warning,Warning
[262],Tested Axis,Tested Axis
[263],Axis Deviation,Axis Deviation
[264],Reversal Value,Reversal Value
[265],Mean Reversal Value,Mean Reversal Value
[266],Range Mean Bidirectional Positional Deviation,Range Mean Bidirectional Positional Deviation
[267],Systematic Positional Deviation,Systematic Positional Deviation
[268],Repeatability of Positioning,Repeatability of Positioning
[269],Accuracy,Accuracy
[270],Unidirectional,Unidirectional
[271],Bidirectional,Bidirectional
[272],Not Applicable,Not Applicable
[273],Target Position,Target Position
[274],Approach Direction,Approach Direction
[275],Positional Deviation,Positional Deviation
[276],Mean Unidir. Pos. Dev.,Mean Unidir. Pos. Dev.
[277],Est. of Standard Uncertainty,Est. of Standard Uncertainty
[278],Unidir. Repeatability,Unidir. Repeatability
[279],Bidir. Repeatability,Bidir. Repeatability
[280],(Used for NDE Correction),(Used for NDE Correction)
[281],Data not saved,Data not saved
[282],Measurement not completed,Measurement not completed
[283],Reset position?,Reset position?
[284],Measurement completed,Measurement completed
[285],Measurement terminated,Measurement terminated
[286],Measurement completed with %d data lost,Measurement completed with %d data lost
[287],Measurement of current axis completed,Measurement of current axis completed
[288],Cannot open file,Cannot open file
[289],Cannot save file,Cannot save file
[290],%s / %s must be an integer,%s / %s must be an integer
[291],Inconsistent values,Inconsistent values
[292],Invalid entry,Invalid entry
[293],No. of cycles doesn't comply ISO standard. Print?,No. of cycles doesn't comply ISO standard. Print?
[294],All Files,All Files
[295],Legacy Files,Legacy Files
[296],Firmware,Firmware
[297],Driver,Driver
[298],Library,Library
[299],User Calibration,User Calibration
[300],Shift,Shift
[301],Modify data by user?,Modify data by user?
[302],Optics,Optics
[303],Default,Default
[304],Saved,Saved
[305],Average Material Temp.,Average Material Temp.
[306],Current Axis,Current Axis
[307],Extended Resolution,Extended Resolution
[308],Data Lost,Data Lost
[309],Information,Information
[310],Keyboard Position,Keyboard Position
[311],Outside Target Window,Outside Target Window
[312],Inside Target Window,Inside Target Window
[313],Target List,Target List
[314],Interpolate,Interpolate
[315],Compensation Values,Compensation Values
[316],None,None
