Keysight E1733A String Table
French

[1],Linear,Lineaire
[324],Sorted by position number,Classé par point
[325],Sorted by run number,Classé par passe
[326],Sorted by line number,Classé par ligne
[327],Number of total data pairs,Nombre total de paires
[328],Number of total data runs,Nombre total de passes
[329],Axis 2 Data,Données de l'axe 2
[330],Out of spec,Hors spéc.
[331],Target Value,Valeur cible
[332],Error Value,Valeur de l'erreur
[333],Pos #,Position n°
[334],Run #,Passe n°
[335],Line #,Ligne n°
[336],Point #,Point n°
[337],Position,Position
[338],Coefficient of Thermal Expansion,Coefficient de dilatation thermique
[339],Compensation Routine,Routine de compensation
[340],Update Each %s ,Mise à jour chaque %s
[341],Equation,Équation
[342],Parameter,Paramètre
[343],Air Conditions Used for Compensation of Laser Interferometer,Conditions d'air utilisées pour la compensation de l'interféromètre laser
[344],Positioning Measurement,Mesure de positionnement
[345],Estimation of Measurement Uncertainty,Estimation de l'incertitude de mesure
[346],Laser Interferometer Measurement,Mesure de l'interféromètre laser
[347],Simplified Method,Méthode simplifiée
[348],Average Industial Conditions,Conditions industrielles moyennes
[349],Improved Industrial Conditions,Conditions industrielles améliorées
[350],Contributors,Contributeurs
[351],Device,Système
[352],Measurement Length,Longueur de mesure
[353],Error Range,Plage d'erreur
[354],Alignment,Alignement
[355],Beam Alignment,Alignement faisceau
[356],Misalignment,Défaut d'alignement
[357],Compensation of Workpiece Temperature,Compensation de la température de la pièce
[358],Thermal Expansion Coefficient,Coefficient de dilatation thermique
[359],Difference to 20C,Différence à 20°C
[360],Temperature Measurement,Mesure de température
[361],Maximum,Maximum
[362],Machine Tool,Machine-outil
[363],Zero,Zéro
[364],Included in U(%s),Inclus dans U(%)
[365],Environmental Variation,Variation environnementale
[366],Correction of R Values Due to U(EVE),Correction des valeurs R en fonction de U(EVE)
[367],Correction of Repeatability Values,Correction des valeurs de répétabilité
[368],According to Table,Selon la table
[369],Typical Results,Résultats typiques
[370],At Target %s,À la position %s
[371],For R According to Table,Pour R selon table
[372],Corrected,Corrigé
[373],Uncorrected,Non corrigé
[374],Assumed,Présumée
[375],Calibrated Measuring Device,Appareil de mesure calibré
[376],Uncertainty of Expansion Coefficient,Incertitude du coefficient de dilatation
[377],Unit,Unité
[378],Amplitude,Amplitude
[379],Frequency,Fréquence
[380],Show Legend,Affiche la légende
[381],Show Machine Info.,Affiche les infos machine
[382],Merge Data,Fusionne les données
[383],Can't combine different data types or target lists,Impossible d'associer différents types de données ou listes cibles
[384],Synchronized Operation,Opération Synchronisée
[385],Demo Mode,Mode Démo
[386],Rotary Table,Table rotation
[387],Printer,Imprimante
[388],Copies,Copies
[389],Orientation,Orientation
[390],Portrait,Portrait
[391],Landscape,Paysage
[392],Download,Chargement
[393],User defined download program,Chargement du programme défini par l'utilisateur
[394],File not found,Fichier introuvable
[395],Show Hint,
[396],Extra Margin,
[397],Left,
[398],Top,
[399],Right,
[400],Bottom,
[401],Calibration Due,
[402],Calibration Expired,
[403],Calibration Period,
[404],Month,
[405],Dual Axis,
[406],Single Axis,
